group_key,total,variants,unique_msgs,top_members,sizes,colors,units,merged_stems
линейк линзованы полос,1,1,1,линейки линзованые 3000к (12 полос)(1),"3000:1, 12:1",,уп:1,
liner линейн светильник,1,1,1,линейный светильник liner t33 8w - 4000k(1),"33:1, 8:1, 4000:1",,шт:1,
liner opal линейн светильник,1,1,1,линейный светильник liner t33 opal 20w 4000k(1),"33:1, 20:1, 4000:1",,шт:1,
bk dk linear smart,1,1,1,линейный светильник smart linear zigbee dk8305-bk(1),8305:1,,шт:1,
led line pro вт,1,1,1,линейный светильник u-line pro led 3000k 24-48вт чёрный муар 30х34х2000 мм(1),"30х34:1, 3000:1, 24:1, 48:1, 2000:1",чёрный:1,шт:1,
линейн,1,1,1,линейных(1),,,шт:1,
лин ткан,1,1,1,линии по ткани(1),,,м:1,
лин слим флекс,1,1,1,линии флекси слим 3см(1),3:1,,м:1,
flexy лини,1,1,1,линия flexy 30(1),30:1,,м:1,
slott лини,1,1,1,линия slott 40 черная(1),40:1,черная:1,м:1,
лини остальн,1,1,1,линия и остальное(1),,,м:1,
лин угл,1,1,1,линя углы(1),,,шт:1,
алюмин лист,1,1,1,лист алюминий 120*120см(1),120*120:1,,—:1,
лист фанер целиков,1,1,1,лист фанеры целиковый(1),,,шт:1,
больши лист,1,1,1,листы большие 1.5 на 2 метра(1),"1.5:1, 2:1",,—:1,
лес лобановск,1,1,1,лобановский лес(1),,,—:1,
лобн,1,1,1,лобня(1),,,—:1,
лопатк монтаж потолк,1,1,1,лопатка для монтажа потолка(1),,,шт:1,
лотос свел,1,1,1,лотос свело 6мм(1),6:1,,шт:1,
гранит лотос трубк,1,1,1,лотос трубка на гранит(1),,,шт:1,
главн кв льгин ул,1,1,1,"льгино, ул. главная 26 кв(1)",26:1,,—:1,
лэдс пауэр,1,1,1,лэдс пауэр 10/4000(1),10/4000:1,,м:1,
вт лэдс пауэр,1,1,1,лэдс пауэр 22вт/4000(1),"22:1, 4000:1",,м:1,
восход люберц,1,1,1,"люберцы, ст восход 6/61(1)",6/61:1,,—:1,
без защелк люк петел,1,1,1,люк 150*90 без петель на 4х защелках(1),"150*90:1, 4:1",,шт:1,
без две люк петл,1,1,1,люк 40х40 без петлей с щеколдами на две стороны(1),40х40:1,,шт:1,
длинн люк петл сторон,1,1,1,люк 70х115 петли по длинной стороне(1),70х115:1,,шт:1,
выш котор люк,1,1,1,люк выше который(1),,,—:1,
клинч люк ткан,1,1,1,люк для ткани на клинче 50*50(1),50*50:1,,шт:1,
гарпун люк,1,1,1,люк на гарпуне 100см на 50см(1),"100:1, 50:1",,шт:1,
люк ревизионн,1,1,1,люк ревизионный 1400мм х 420мм(1),"1400:1, 420:1",,шт:1,
длинн люк петл подсветк,1,1,1,люк с подсветкой 164 на 70 см петли по длинной стороне(1),"164:1, 70:1",,шт:1,
закатк клинч люк ткан,1,1,1,люки 40*40 с клинчем для закатки ткани(1),40*40:1,,шт:1,
люк петл смх сторон,1,1,1,люки 80смх100см петли по стороне 100(1),"80:1, 100:1",,шт:1,
люк натяжны потолк размер,1,1,1,люки под натяжные потолки размером 80смх100см(1),"80:1, 100:1",,шт:1,
pdk люмфер,1,1,1,"люмфер pdk60, чёрный(1)",60:1,чёрный:1,м:1,
безрамн вр люмфер,1,1,1,люмфер безрамный вр03 чёрный(1),03:1,чёрный:1,м:1,
бп люмфер,1,1,1,люмфер бп03 белый(1),03:1,белый:1,м:1,
волат люмфер мин,1,1,1,люмфер волат мини черный(1),,черный:1,м:1,
кламп левел люмфер,1,1,1,люмфер кламп левел 90(1),90:1,,м:1,
кламп люмфер мин радиум,1,1,1,люмфер кламп радиум мини белый(1),,белый:1,м:1,
клемп левел люмфер,1,1,1,люмфер клемп левел 70 черный(1),70:1,черный:1,м:1,
левел люмфер,1,1,1,люмфер левел 50(1),50:1,,м:1,
люмфер магнум рядн,1,1,1,люмфер магнум 2х рядный белый(1),2:1,белый:1,м:1,
люмфер пдк,1,1,1,люмфер пдк60 черный(1),60:1,черный:1,м:1,
black collection delight люстр,1,1,1,люстра delight collection 10228p/s black(1),10228:1,,шт:1,
кольц люстр стандарт,1,1,1,люстра с кольцом стандарт(1),,,шт:1,
закладны люстровы,1,1,1,люстровые закладные(1),,,шт:1,
датчик люстр фанер,1,1,1,люстры фанеры под датчик(1),,,—:1,
постов,1,1,1,м. постовая(1),,,—:1,
маг реш,1,1,1,маг реш на 100(1),100:1,,шт:1,
вентилятор диф маг тен,1,1,1,маг тень диф с вентилятором(1),,,шт:1,
вент магн реш,1,1,1,магн вент реш 100мм(1),100:1,,шт:1,
бел вик круглы магн,1,1,1,магн реш 120 бел вик круглые(1),120:1,,—:1,
vic магн реш,1,1,1,магн реш d120/100 vic белая(1),120/100:1,белая:1,—:1,
вик круглы магн реш,1,1,1,магн реш круглые 100 вик(1),100:1,,шт:1,
магн прямоугольн реш,1,1,1,магн реш прямоугольная белая маленькая(1),,белая:1,шт:1,
белы магн прямоугольны реш,1,1,1,магн реш прямоугольные белые(1),,,шт:1,
бел магн прямоугольн решетк,1,1,1,магн решетка 120/240 бел прямоугольная(1),120/240:1,,—:1,
бел вик круг магн,1,1,1,магн решетки круг100 бел вик(1),100:1,,—:1,
vic белы круглы магн,1,1,1,магн решетки круглые белые 120е vic(1),120:1,,—:1,
белы круглы магн решетк,1,1,1,магн решетки круглые белые d100(1),100:1,,—:1,
вн магн решетк,1,1,1,магн. решетки вн. 120мм(1),120:1,,шт:1,
магнит решетк,1,1,1,"магнит решетка 5,5/220(1)","5/220:1, 5:1",,—:1,
магнит прямоугольн решетк,1,1,1,магнит решетка прямоугольная(1),,,шт:1,
белы круглы магнит одинаковы,1,1,1,магнит решетки 120 (белые круглые одинаковые)(1),120:1,,шт:1,
внутренн диаметр магнитк тенев,1,1,1,магнитка теневая 125 внутренний диаметр(1),125:1,,шт:1,
магнитк,1,1,1,магнитки(1),,,шт:1,
внутренн вытяжк диаметр магнитк,1,1,1,магнитки теневые под вытяжку диаметр 100 внутренний(1),100:1,,шт:1,
магнитн реш,1,1,1,магнитн реш 100(1),100:1,,шт:1,
line sparta white вентиляционн,1,1,1,магнитная вентиляционная решётка u-line sparta white d120 мм (внутренний d100 мм)(1),"120:1, 100:1",,шт:1,
line straight white вентиляционн,1,1,1,магнитная вентиляционная решётка u-line straight white d120 мм(1),120:1,,шт:1,
line vic магнитн решетк,1,1,1,"магнитная решетка u-line vic, комплект 85*225(1)",85*225:1,,шт:1,
магнитн примерн решетк,1,1,1,магнитная решетка белая примерно 100/200(1),100/200:1,белая:1,—:1,
круг магнитн решетк,1,1,1,магнитная решетка круг(1),,,шт:1,
датчик магнитн пожарн решетк,1,1,1,магнитная решетка под пожарный датчик(1),,,шт:1,
магнитн прям решетк,1,1,1,магнитная решетка прям белая(1),,белая:1,шт:1,
внут вырез магнитн размер,1,1,1,магнитная решетка рисунок 203 внут размер выреза 1000/100мм белый(1),"1000/100:1, 203:1",белый:1,шт:1,
магнитн решетк узк,1,1,1,магнитная решетка черная узкая(1),,черная:1,шт:1,
ку магнитн решотк,1,1,1,магнитная решотка (100ку)(1),100:1,,шт:1,
pq магнитн решщетк,1,1,1,магнитная решщетка 70*700 черный pq 202(1),"70*700:1, 202:1",черный:1,шт:1,
кругл магнитн решётк,1,1,1,магнитная решётка круглая 100-я(1),100:1,,шт:1,
vic магнитн решётк,1,1,1,магнитную решётку 150×125 vic белую(1),150×125:1,белую:1,шт:1,
заглушк магнитны,1,1,1,магнитные заглушки(1),,,компл:1,
внутренн магнитны решетк,1,1,1,магнитные решетки 125 внутренний(1),125:1,,—:1,
диаметр магнитны решетк ткан,1,1,1,магнитные решетки 125 под ткань 125 диаметр(1),125:1,,шт:1,
белы диаметр магнитны решетк,1,1,1,магнитные решетки белые диаметром 125(1),125:1,,—:1,
белы диаметр круглы магнитны,1,1,1,магнитные решетки круглые белые диаметр 120(1),120:1,,шт:1,
магнитны продольны решетк угольны,1,1,1,магнитные решетки продольные 4х угольные(1),4:1,,шт:1,
магнитны маленьки прямоугольны решетк,1,1,1,магнитные решетки прямоугольные маленькие(1),,,шт:1,
магнитны решётк,1,1,1,магнитные решётки(1),,,шт:1,
белы круглы магнитны маленьки,1,1,1,магнитные решётки круглые белые маленькие(1),,,шт:1,
ду магнитны решётк теневы,1,1,1,магнитные теневые решётки ду 100(1),100:1,,шт:1,
заклушк магнитны пк торцевы,1,1,1,магнитные торцевые заклушки к пк 14(1),14:1,,шт:1,
магнитны пк торцевы,1,1,1,магнитные торцевые на пк 14(1),14:1,,компл:1,
магнитны пк торц,1,1,1,магнитные торцы на пк 14(1),14:1,,компл:1,
диффузор магнитн прямоугольн,1,1,1,магнитный диффузор прямоугольный 6на 10(1),"6:1, 10:1",,—:1,
магнитн торец,1,1,1,магнитный торец черный(1),,черный:1,компл:1,
магнитн метров трек,1,1,1,магнитный трек 2 метровый(1),2:1,,шт:1,
белы дешев магнитн решеток,1,1,1,магнитных решеток самых дешевых белые(1),,,шт:1,
белы магнитн решотк,1,1,1,магнитных решотки белые(1),,,шт:1,
магнитн пк торцев,1,1,1,магнитных торцевых на пк 14(1),14:1,,компл:1,
белог магнум,1,1,1,магнума белого(1),,,м:1,
бел мадерн,1,1,1,мадерно 80 бел(1),80:1,,м:1,
мадерн,1,1,1,мадерно белый 80(1),80:1,белый:1,—:1,
квадратны краб маленьки стыковк,1,1,1,маленькие уголки квадратные для стыковки фанеры в краб(1),,,—:1,
кронштейн маленьк,1,1,1,маленьких кронштейнов(1),,,шт:1,
маленьк премиум,1,1,1,маленькое с/у мат премиум(1),,мат:1,—:1,
зелен маркер,1,1,1,маркер красный-зеленый(1),,красный:1,шт:1,
маркер склад,1,1,1,маркера для склада(1),,,—:1,
гарпун классик март,1,1,1,март классик гарпун белый(1),,белый:1,—:1,
жуков маршал,1,1,1,маршала жукова(1),,,—:1,
tl готик лент маскировочн,1,1,1,маскировочная лента готика tl(1),,,м.п:1,
гарпун эвалюшн,1,1,1,мат 303 эвалюшн гарпун чёрный(1),303:1,"чёрный:1, мат:1",шт:1,
широк,1,1,1,мат 309 широкий(1),309:1,мат:1,—:1,
bauf fireproof,1,1,1,мат bauf fireproof 316*461(1),316*461:1,мат:1,—:1,
evolution,1,1,1,мат evolution(1),,мат:1,—:1,
evolution гарпун,1,1,1,"мат evolution гарпун 1.69*1,79(1)","1.69:1, 1,79:1",мат:1,—:1,
premium,1,1,1,мат premium(1),,мат:1,—:1,
абуф,1,1,1,мат абуф 205(1),205:1,мат:1,шт:1,
бауф одног ролик,1,1,1,мат бауф 205 из одного ролика(1),205:1,мат:1,—:1,
бауф гарпун обычн стандарт,1,1,1,мат бауф 205 усадка стандарт гарпун обычный(1),205:1,мат:1,—:1,
kd бауф гарпун,1,1,1,мат бауф 270 kd2 гарпун 392*422(1),"392*422:1, 270:1, 2:1",мат:1,шт:1,
бауф фаерпруф,1,1,1,мат бауф фаерпруф 167х219(1),167х219:1,мат:1,шт:1,
гарпун премиум танд,1,1,1,мат белый премиум гарпун тандем(1),,"белый:1, мат:1",м:1,
классик обычн,1,1,1,мат классик на обычном(1),,мат:1,—:1,
кладовк классик мсд,1,1,1,мат мсд классик 159/144 кладовка(1),159/144:1,мат:1,шт:1,
классик мсд туалет,1,1,1,мат мсд классик 179/188 туалет(1),179/188:1,мат:1,шт:1,
гарпун обычн премиум стандарт,1,1,1,мат премиум гарпун обычный усадка стандарт(1),,мат:1,—:1,
gx tl вставк гарпун,1,1,1,"мат премиум гарпун обычный. вставка 19 метров белая tl., светильники gx53 9шт и лампочек нейтральных(1)","19:1, 53:1, 9:1","белая:1, мат:1",шт:1,
гарпунг обычн премиум,1,1,1,мат премиум гарпунг обычный(1),,мат:1,—:1,
обычн премиум,1,1,1,мат премиум на обычном(1),,мат:1,—:1,
мин премиум усадк черн,1,1,1,мат премиум на черном эко мини усадка 8(1),8:1,мат:1,—:1,
гарпун премиум чёрн,1,1,1,мат премиум на чёрном гарпуне(1),,мат:1,—:1,
аккуратн гарпун кд огарпунивани,1,1,1,мат премиум чёрный гарпун кд 3 аккуратное огарпунивание(1),3:1,"чёрный:1, мат:1",—:1,
гарпун кд премиум раскр,1,1,1,мат премиум чёрный гарпун кд 3 спец раскрой(1),3:1,"чёрный:1, мат:1",—:1,
премк,1,1,1,мат премка(1),,мат:1,шт:1,
эвалюшен,1,1,1,мат эвалюшен(1),,мат:1,—:1,
гарпун кд эво,1,1,1,мат эво гарпун кд2(1),2:1,мат:1,шт:1,
обычн эво,1,1,1,мат эво на обычном 176/212(1),176/212:1,мат:1,—:1,
гарпун прямоугольник стандарт эволюшн,1,1,1,мат эволюшн гарпун стандарт 273 * 87 прямоугольник(1),"273:1, 87:1",мат:1,шт:1,
cold strech материал,1,1,1,материал cold strech 315х84(1),315х84:1,,шт:1,
бауф материал,1,1,1,материал бауф 205(1),205:1,,—:1,
классик материал стандарт усадк,1,1,1,материал классик усадка стандарт(1),,,—:1,
классик материал,1,1,1,материал мат классик(1),,мат:1,—:1,
материал премиум,1,1,1,материал мат премиум(1),,мат:1,—:1,
вставк материал периметр премиум,1,1,1,"материал мат премиум, профиль и вставка по периметру(1)",,мат:1,—:1,
evolution мат материал,1,1,1,материал мать evolution(1),,,—:1,
гарпун матовы полотн цвет,1,1,1,матовые полотна 300/288 - цвет (110) гарпун белый(1),"300/288:1, 110:1",белый:1,шт:1,
матовы потолк,1,1,1,матовые потолки(1),,,—:1,
кронштейн меб,1,1,1,меб кронштейн 100/125(1),100/125:1,,шт:1,
мебельн,1,1,1,"мебельный 12, 15 см(1)","12:1, 15:1",,пачка:1,
медуз,1,1,1,медуза(1),,,м:1,
медуз торц,1,1,1,медуза белая торцы(1),,белая:1,шт:1,
медынск,1,1,1,медынская 12к2(1),"12:1, 2:1",,—:1,
без мелки усадк,1,1,1,мелкие без усадки(1),,,шт:1,
датчик мелки пожарн,1,1,1,мелкие под датчик пожарный(1),,,шт:1,
вентрешеток мелк,1,1,1,мелких вентрешеток(1),,,шт:1,
менеджер ответил руб стоит,1,1,1,менеджер ответил что стоит 1248 руб за метр(1),1248:1,,—:1,
меня упд,1,1,1,меняем на 15 и упд ?(1),15:1,,—:1,
металлическ периметр профил стандарт,1,1,1,металлический профиль стандарт по периметру(1),,,—:1,
метраж,1,1,1,метраж(1),,,м:1,
мешк,1,1,1,мешки(1),,,шт:1,
люстр мин тис,1,1,1,мини люстра тиса(1),,,шт:1,
люстр мин фанер,1,1,1,мини люстра фанера(1),,,шт:1,
люстр мин усилины,1,1,1,мини люстры усилиные(1),,,шт:1,
tl вставк мне,1,1,1,мне нужно 15 штук и вставка tl белая(1),15:1,белая:1,м:1,
возможност мне отложит,1,1,1,"мне нужно 2 метра, отложите пожалуйста если есть возможность(1)",2:1,,—:1,
будут все заглушк карниз,1,1,1,мне нужно на 4 карниза все с торцевыми заглушками будут(1),4:1,,—:1,
дер мо му поповк,1,1,1,"мо, му чехов, дер поповка, ул таёжная(1)",,,—:1,
вставк модерн подсветк,1,1,1,модерно 40+ вставка для подсветки(1),40:1,,м:1,
dk led slim денкерс,1,1,1,модуль денкерс dk4000-7w slim led(1),"4000:1, 7:1",,—:1,
jm вас два доставк,1,1,1,"можем пжл отправить доставкой два полотна jm на идеал потолок у вас лежат, и 75 кольца узкие(1)",75:1,,шт:1,
восток мож север тольк,1,1,1,"можем только если 200 север, 200 восток)(1)",200:1,,—:1,
быт их можемт может,1,1,1,"может быть, ну можемт быть что то их черного появилось?(1)",,черного:1,—:1,
выставит может сем,1,1,1,может выставите на семь?(1),,,—:1,
может пк,1,1,1,может заказать пк 14(1),14:1,,м:1,
докинут доставк может провод,1,1,1,можете в доставку провод докинуть пожалуйста метров(1),,,—:1,
владимир новиков сделат,1,1,1,можно заказ сделать на новикова владимира(1),,,—:1,
гарпун двойн доставк,1,1,1,можно заказать двойной гарпун с доставкой(1),,,—:1,
стен,1,1,1,можно на стену(1),,,—:1,
уголк упаковк,1,1,1,можно пожалуйста еще уголки упаковку 3*4(1),3*4:1,,—:1,
больш есл положит таки,1,1,1,можно положить такие 5 и есле есть больше тоже(1),5:1,,шт:1,
полотн посчитат,1,1,1,можно посчитать полотно чёрный глянец(1),,"чёрный:1, глянец:1",—:1,
посмотрет тариф,1,1,1,можно тарифы посмотреть?(1),,,—:1,
мок,1,1,1,мок черный(1),,черный:1,м:1,
молдинг,1,1,1,молдинг белый(1),,белый:1,м:1,
вентилятор канал монтаж скрытог,1,1,1,монтаж для скрытого вентилятора ф120 в канал(1),120:1,,шт:1,
мебел монтаж,1,1,1,монтаж по мебели(1),,,—:1,
кольц монтажн,1,1,1,монтажное кольцо 40(1),40:1,,шт:1,
fix gallop tytan кле,1,1,1,монтажный клей tytan gallop fix(1),,,шт:1,
inter монтажн,1,1,1,монтажный комплект inter a300105(1),300105:1,,шт:1,
москв,1,1,1,москва(1),,,—:1,
москв нахимовск проспект,1,1,1,москва нахимовский проспект 47(1),47:1,,—:1,
кв москв проспект севастопольск,1,1,1,москва севастопольский проспект 13к4 под4 кв(1),"13:1, 4:1",,—:1,
москв троицк ул,1,1,1,"москва, троицкая ул. 9к1(1)","9:1, 1:1",,—:1,
административн москв московск новомосковск,1,1,1,"московский, филимонковский район, новомосковский административный округ, москва(1)",,,—:1,
ламп мощны,1,1,1,мощные лампы(1),,,шт:1,
моющ средств,1,1,1,моющее средство 500мл(1),500:1,,шт:1,
гарпун мпг,1,1,1,мпг гарпуна(1),,,м:1,
бдэкаут два евр кажог,1,1,1,"мсд бдэкаут и тектуп евро цвет бежевая макадамия-  нужно кажого по два отреза 3,2*5м, цена и сроки(1)","2*5:1, 3:1",бежевая:1,—:1,
ево кд мсд,1,1,1,мсд ево черный кд2(1),2:1,черный:1,—:1,
ево кд мсд усадк,1,1,1,мсд ево черный кд2 усадка 8%(1),"2:1, 8:1",черный:1,шт:1,
бел гарпун мсд премиум,1,1,1,мсд премиум бел мат гарпун белый(1),,"белый:1, мат:1",—:1,
бел кд мсд премиум,1,1,1,мсд премиум бел мат спецраскрой кд2(1),2:1,мат:1,—:1,
краб мсд премиум,1,1,1,мсд премиум белый мат под краб 4.0 241х123(1),"4.0:1, 241х123:1","белый:1, мат:1",шт:1,
бауф гарпун кд мсд,1,1,1,мсд премиум мат белый гарпун кд 2 бауф 205(1),"2:1, 205:1","белый:1, мат:1",—:1,
мсд премиум прямоугольник,1,1,1,мсд премиум мат прямоугольник 242 на 143(1),"242:1, 143:1",мат:1,—:1,
гарпун мсд премиум стандарт,1,1,1,"мсд премиум, белый мат, гарпун стандарт(1)",,"белый:1, мат:1",—:1,
мсд премиум тяжел,1,1,1,"мсд премиум, тяжелый(1)",,,м:1,
мсд премиюм,1,1,1,мсд премиюм матовый(1),,матовый:1,—:1,
кд мсд эво,1,1,1,мсд эво 10% кд3 или кд2(1),"10:1, 3:1, 2:1",,—:1,
гарпун мсд раскр спец,1,1,1,мсд эво 10% спец раскрой черный гарпун(1),10:1,черный:1,шт:1,
бел мсд полупрозрачн эво,1,1,1,мсд эво бел мат полупрозрачное(1),,мат:1,—:1,
гарпун кд мсд усадк,1,1,1,мсд эво усадка 8% гарпун кд2(1),"8:1, 2:1",,—:1,
мсд усадк эволюшен,1,1,1,мсд эволюшен усадка 8%(1),8:1,,—:1,
гарпун кд мсд эволюшин,1,1,1,мсд эволюшин гарпун кд 3(1),3:1,,—:1,
гарпун мсд обычн эволюшин,1,1,1,мсд эволюшин гарпун обычный белый(1),,белый:1,—:1,
бел мсд эволюшн,1,1,1,мсд эволюшн бел мат(1),,мат:1,шт:1,
бел гарпун краб мсд,1,1,1,мсд эволюшн бел мат гарпун черный раскрой краб(1),,"мат:1, черный:1",—:1,
бел мсд спецраскр эволюшн,1,1,1,мсд эволюшн бел мат спецраскрой(1),,мат:1,—:1,
бел кд мсд спецраскр,1,1,1,мсд эволюшн бел мат спецраскрой кд2(1),2:1,мат:1,—:1,
гарпун мсд стандарт усадк,1,1,1,мсд эволюшн белый мат в чёрном гарпуне усадка стандарт 7-8%(1),"7:1, 8:1","белый:1, мат:1",—:1,
все мсд полотн усадк,1,1,1,мсд эволюшн усадка 6% на все полотно(1),6:1,,—:1,
мсд усадк эволюшн,1,1,1,мсд эволюшн усадка 8%(1),8:1,,—:1,
мультикрафт,1,1,1,мультикрафт 70-75 по 20(1),"70:1, 75:1, 20:1",,—:1,
будут встраеваем диффузор желательн,1,1,1,"мы планируем встраеваемый магнитный трек в натяжной пвх потолок (желательно 220) + нужен щелевой диффузор для приточки. так чтобы трек и решетка образовывали одну ровную линию. в самом диффузоре трек не нужен, они будут идти поочередно(1)",220:1,,—:1,
жидк мыл,1,1,1,мыло жидкое(1),,,—:1,
кв матросов мытищ ул,1,1,1,"мытищи, ул. матросова 5а, кв 4, п1, эт(1)","5:1, 4:1, 1:1",,—:1,
мягки,1,1,1,мягкие(1),,,шт:1,
адаптер,1,1,1,на адаптер(1),,,шт:1,
брус ваг всем вставк,1,1,1,"на большой потолок профиль тяжёлый стеновой, на маленький пвх профиль. + брус 2м и потолочка; вставку по всему периметру. обвод трубы 32 и конус- 2шт; платформа 90 + кольца-8шт; платформа под пожарку+ кольцо 30- 3шт; решётки 100+ кольцо 110- 1шт; провод- 15м; консоль 125/100- 2шт; подвесы 15шт; вага2(1)","125/100:1, 2:1, 32:1, 90:1, 8:1, 30:1, 3:1, 100:1",,шт:1,
всотряковск проезд,1,1,1,на всотряковском проезде(1),,,—:1,
вторник,1,1,1,на вторник заказ(1),,,—:1,
вторник запускат сред,1,1,1,на вторник/среду можно запускать(1),,,—:1,
гардин люмфер,1,1,1,на гардину люмфер 2 пары(1),2:1,,пара:1,
двух минус полотн,1,1,1,на двух полотнах минус(1),,,—:1,
доставк сможет,1,1,1,на завтра доставку сможете ?(1),,,—:1,
восток соберит,1,1,1,"на завтра на восток соберите, пожалуйста:(1)",,,—:1,
алформ гардин,1,1,1,на завтра нужно гардина алформ р-50 2 шт по(1),"50:1, 2:1",,м:1,
запад контурн профил,1,1,1,на западе есть контурный профиль(1),,,м:1,
бы вес вышел главн,1,1,1,"на любую длину, главное что бы общий вес шторы не по вышел 55(1)",55:1,,шт:1,
перв этап,1,1,1,на первый этап(1),,,шт:1,
пк подоб,1,1,1,на подобии пк-14(1),14:1,,—:1,
доставк понедельник,1,1,1,на понедельник доставка к(1),,,—:1,
примерк,1,1,1,на примерку(1),,,шт:1,
будет север,1,1,1,на север нужно будет на завтра(1),,,—:1,
быт должн доставк кольц,1,1,1,"на сегодня доставка должна быть добавьте туда пожалуйста платформы 90,20 шт, 20 подвесов и кольца(1)","90,20:1, 20:1",,шт:1,
fly бауф белог ваг,1,1,1,"на сталеваров: потолок белый мат бауф 287/463; 14 м fly 02 белого; 4 м fly 03 белый; рассеиватель -16 м; 10 м световых 3 см и рассеиватель; 2 крестовины; 4 торца; гарпун двойной-11 м; магнитная решетка прямоугольная 10/20; провода 20 м ; ваги-10; уголки 10*12,5(1)","287/463:1, 10/20:1, 10*12:1, 14:1, 02:1, 4:1, 03:1, 16:1","белый:1, мат:1",шт:1,
опят потолок,1,1,1,на утро надо опять этот потолок(1),,,—:1,
shtorka крючк набор профил,1,1,1,набор крючков (профиль shtorka 01)(1),01:1,,уп:1,
набор напильник,1,1,1,набор напильников(1),,,компл:1,
вырезалк кольцевстав набор расходник,1,1,1,набор расходников для циркуля-вырезалки и кольцевстава(1),,,шт:1,
гардин крючк набор пластиковы,1,1,1,наборы крючков для гардин пластиковые(1),,,шт:1,
крючк набор них,1,1,1,наборы крючков для них(1),,,компл:1,
набор надфил,1,1,1,надфили набор(1),,,—:1,
наждачк,1,1,1,наждачка(1),,,шт:1,
люк нажимн,1,1,1,нажимной люк 40х60(1),40х60:1,,шт:1,
назначени оплат платеж счет,1,1,1,"назначение платежа ""оплата по счету n8372 от 02.03.2026 за(1)","02.03:1, 8372:1, 2026:1",,—:1,
алюминиев бокс диодк накладн,1,1,1,накладной алюминиевый бокс 16х7 мм с рассеивателем для диодки(1),16х7:1,,—:1,
sakura алюминиев накладн профил,1,1,1,накладной прямой алюминиевый профиль sakura с рассеивателем белый(1),,белый:1,м:1,
накладны подарк,1,1,1,накладные подарки(1),,,шт:1,
напилит палк,1,1,1,напилить палку(1),,,палка:1,
напилит профил,1,1,1,напилить профиль(1),,,—:1,
направляющи,1,1,1,направляющие(1),,,—:1,
алюминев направляющи,1,1,1,направляющие алюминевый(1),,,—:1,
гнуты натфил стык,1,1,1,натфиля гнутые для стыков(1),,,—:1,
натяжител полотн рук треть,1,1,1,натяжитель полотна третья рука(1),,,шт:1,
классик натяжн потолок,1,1,1,натяжной потолок белый матовый классик 490*254(1),490*254:1,"белый:1, матовый:1",шт:1,
нашл склад,1,1,1,нашли на складе(1),,,шт:1,
не,1,1,1,не 60 метров а 80(1),"60:1, 80:1",,м:1,
tl не,1,1,1,не tl(1),,,м:1,
выставлял не,1,1,1,не выставляли!(1),,,—:1,
не окрашенн,1,1,1,не окрашенный(1),,,—:1,
не понял,1,1,1,не я понял(1),,,—:1,
натяжн негорюч полотн потолк,1,1,1,негорючее полотно для натяжных потолков матовое белое(1),,"матовое:1, белое:1",м2:1,
алмазн коронок недорог,1,1,1,недорогих алмазных коронок(1),,,шт:1,
нейтральн,1,1,1,нейтральная(1),,,катушка:1,
eleganz лент нейтральн светодиод,1,1,1,нейтральная лента eleganz 14.4 светодиоды 60(1),"14.4:1, 60:1",,м:1,
лент недорог нейтральн,1,1,1,нейтральной ленты недорогой 24v(1),24:1,,м:1,
необходим,1,1,1,необходимо(1),,,шт:1,
неокраш рассеивател фла,1,1,1,неокраш флай02+рассеиватель(1),02:1,,м:1,
прост,1,1,1,"нет, просто(1)",,,м:1,
bp ниш подсветк,1,1,1,ниша bp-03 (с подсветкой)(1),03:1,,м:1,
белог люмфер ниш цвет,1,1,1,ниша люмфер n02 белого цвета(1),02:1,,м:1,
neo plus sigma карниз,1,1,1,ниша под карниз sigma neo 80 plus белая(1),80:1,белая:1,м:1,
альтез карниз лед ниш,1,1,1,ниша под карниз альтеза сигма плюс лед(1),,,м:1,
бп ниш штор,1,1,1,ниша под шторы бп-40(1),40:1,,м:1,
алюминиевым бампер ниш сигм,1,1,1,ниша сигма с черным алюминиевым бампером(1),,,м:1,
бампер ниш сигм черным,1,1,1,ниша сигма с черным бампером(1),,,м:1,
canyon slott лини нишев,1,1,1,нишевая световая линия slott canyon 3.0 черная(1),3.0:1,черная:1,м:1,
лини нишев светов слот,1,1,1,нишевая световая линия слот(1),,,м:1,
алформ нишев плюс сигм,1,1,1,нишевый алформ сигма плюс белый(1),,белый:1,м:1,
взят мог,1,1,1,но метров 50 могу взять(1),50:1,,—:1,
отдат,1,1,1,но отдать +7 905 846(1),"7:1, 905:1, 846:1",,—:1,
lumfer безопасн нож,1,1,1,нож lumfer безопасный(1),,,шт:1,
ножниц потолочник,1,1,1,ножницы для потолочника(1),,,шт:1,
ножниц угловы,1,1,1,ножницы угловые(1),,,шт:1,
встречающег номер,1,1,1,номер встречающего(1),,,—:1,
заказ номер,1,1,1,номер заказа(1),,,—:1,
марк номер пропуск сообщит,1,1,1,номер и марку сообщите для пропуска(1),,,—:1,
номер склад,1,1,1,номер склада +7 985 534-55-66(1),"7:1, 985:1, 534:1, 55:1, 66:1",,—:1,
нормальног,1,1,1,нормального(1),,,м:1,
prozet нп переход профил,1,1,1,нп5 prozet профиль перехода уровня часть №2 - 2.5м(1),"2.5:1, 5:1, 2:1",,м:1,
нп прозет,1,1,1,нп5 прозет(1),5:1,,м:1,
нп прозет профил,1,1,1,нп5 прозет профиль(1),5:1,,м:1,
конечн машин мен образц,1,1,1,"ну конечно, у меня 3 образца в машине(1)",3:1,,—:1,
